stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding
5e8fdb79-9f12-4ebc-b0ad-3608ec3ed3cc,330,Georgian College,,44.4120865709833,-79.6691320639331,0,0
c6ecf3b3-1135-4e28-8c1b-a155274e573b,109,130 Bell Farm,,44.4110163695226,-79.6752555474791,0,0
e319d014-117e-498e-85bc-82c036162e6a,104,Alliance Boulevard,,44.40946238,-79.6790649,0,0
b6bfea95-7933-4b5c-a367-d9933216803b,107,Bell Farm at St Vincent,Bell Farm at Saint Vincent,44.4074014,-79.68485661,0,0
7eafbf2d-1ac2-4e01-8b80-3c9c991f5fd6,628,St Vincent at Cundles,Saint Vincent at Cundles,44.41205785,-79.68921308,0,0
fa4bec51-f8f1-4e10-8901-b7ce0c0a5046,633,Osprey Ridge Road,,44.41519114,-79.69192287,0,0
a3c9cb6d-880c-4e1e-8136-13e75d9b8a66,632,St Vincent at Livingstone,Saint Vincent at Livingstone,44.41765012,-79.69403563,0,0
64f34a99-4af4-45e5-8f8d-666615c73769,444,Margaret Drive,,44.41822043,-79.69612789,0,0
21e7d160-7670-4515-8599-7ecc55944458,446,Michael Crescent,,44.41611771,-79.70096226,0,0
33eeabcb-c0b8-42d8-88a5-8e8f5879f401,447,East Bayfield Community Centre,,44.41430522,-79.70283155,0,0
1f81e6b3-0a97-427d-b31f-a18be6cc03be,440,Georgian Mall,,44.4106623179115,-79.7064871911101,0,0
4d79ce4c-0d1d-4f64-910a-d382a56e4a32,453,Wal-Mart Plaza,,44.40902611,-79.71030063,0,0
5e27f745-94e9-4be3-8e66-86becb7aee74,912,Gloria Street,,44.40734596,-79.71163434,0,0
8cf5af08-3b40-4d9d-b7b9-e6a084c9a233,913,Heather Street,,44.4066849,-79.70874205,0,0
dd5ce073-11ec-4e39-a0f6-7524e2fe2ecf,914,Kozlov at Cundles,,44.40489571,-79.70689529,0,0
61528c60-8fbd-49c9-8390-845cdc788b09,232,Coulter Street,,44.40347316,-79.70744886,0,0
a47eaac4-a781-4850-bbc6-121f7c248bf8,238,Coleman Health Care Centre,,44.40075877,-79.71489181,0,0
b86138e1-dc05-41af-88f3-09ea7ca2f648,244,Cundles at Sunnidale,,44.39987102,-79.71692684,0,0
c6b929c1-2ba7-49b9-844d-6d2f02884c41,15,Anne at Cundles,,44.39832266,-79.71897992,0,0
4e5c06e6-79ce-440c-93fc-942b62c502b7,4,Austen Lane,,44.39621595,-79.71720756,0,0
f4c5b65d-8b1d-4b08-9e9c-a6dc26d27bf1,23,Shelly Lane,,44.3944009,-79.71562628,0,0
e68c98a4-3ee0-4ff4-a2a9-0cf266f8dcc1,12,Portageview Public School,,44.39290588,-79.71428337,0,0
beb1a8a9-ea75-417c-9fee-524312bc46e9,24,Shirley Avenue,,44.39053543,-79.71222054,0,0
784f3bfb-9816-49b2-b7b1-afddbf44e23b,18,Anne at Edgehill Drive,,44.38715706,-79.70935615,0,0
96a44b4e-95fd-4b42-a888-eac85741dfd9,249,Anne Street,,44.38473684,-79.70599285,0,0
7d43cba5-c5e4-4539-b908-654cc1f973b3,699,Wellington Plaza,,44.38769346,-79.70626444,0,0
19fbef00-946f-487a-9788-1059279b9b54,695,Barrie Medical Arts,,44.38939941,-79.70355348,0,0
ba5678f7-6bf9-46d4-9747-dd482df622d7,608,Victoria Village,Victory Village,44.39075455,-79.69806293,0,0
47650874-5dcd-4f2a-809c-f688f059e846,486,Maple at Ross,,44.39018841,-79.69253335,0,0
70264f35-9002-4510-90cc-3399058436e8,1,Downtown Barrie Terminal,,44.3877106540031,-79.6910255963222,0,0
300790d3-25e9-45c2-82ed-a74e51c6eb00,144,Barrie By the Bay Plaza,,44.38419889,-79.69396387,0,0
4bbced63-f629-4412-b4e4-e3676aee7bd9,151,Victoria Street,,44.38145815,-79.69378391,0,0
