shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
863a974c-073c-488e-b1ec-ffe314c0664b,44.4072921459517,-79.6848022757683,84,9436.31
3237ca3b-f1ac-48a7-980c-9d18244b5bbd,44.3314794797587,-79.6890501492649,105,19792.25
9fab52eb-9ac6-46c8-96bc-937f3acf65b7,44.4065527471804,-79.6687078199766,149,14337.46
9fab52eb-9ac6-46c8-96bc-937f3acf65b7,44.4103609775316,-79.6684313817092,147,13877.53
4e7cc394-7da9-4bd5-b91f-3c22b3d6cbba,44.3665951607345,-79.7134406170486,40,8109.88
863a974c-073c-488e-b1ec-ffe314c0664b,44.4072103147036,-79.7105695134741,55,5808.87
f9e81123-679f-41c6-b74a-2862a878c601,44.3498076150184,-79.6799263040288,98,14078.69
d9ae4601-58b0-47b8-b790-63d532d18e8e,44.3573986114411,-79.6986073052161,114,14487.3
e94a03ac-5ab6-47f0-98dd-fdc5468f4e6b,44.3421378093592,-79.6781197257425,5,363.26
4e7cc394-7da9-4bd5-b91f-3c22b3d6cbba,44.342022,-79.701425,65,11391.94
4e7cc394-7da9-4bd5-b91f-3c22b3d6cbba,44.34750067,-79.70631313,59,10596.76
4bfaaae7-c649-4dc8-a82f-0dcd03d5bc9f,44.3733914242827,-79.6910479196379,66,12812.5
9fab52eb-9ac6-46c8-96bc-937f3acf65b7,44.3987305395077,-79.6648657110533,156,15591.41
6444fbc6-4fd5-4815-9ff3-00ad9fb8282d,44.3490801363635,-79.7025228859498,52,9730.1
f9e81123-679f-41c6-b74a-2862a878c601,44.3473157534086,-79.691495956464,94,13111.45
9fab52eb-9ac6-46c8-96bc-937f3acf65b7,44.4149243482902,-79.7024062098507,115,9927.74
3237ca3b-f1ac-48a7-980c-9d18244b5bbd,44.3402780973043,-79.680277379487,120,21541.67
0a676ff3-1314-46a6-ba1b-d1eb14120c07,44.3913370008073,-79.6776561246906,112,18754.41
9fab52eb-9ac6-46c8-96bc-937f3acf65b7,44.3988565742288,-79.6783561812852,161,16696.55
6444fbc6-4fd5-4815-9ff3-00ad9fb8282d,44.3970299897808,-79.6569521520705,138,20200.03
4bfaaae7-c649-4dc8-a82f-0dcd03d5bc9f,44.3862239,-79.69226406,82,14474.35
f9e81123-679f-41c6-b74a-2862a878c601,44.3609369904418,-79.6975400905148,71,10219.96
50cabe2d-cffc-4408-a655-77cc879c3c26,44.4005816983707,-79.6998637489564,17,1856.79
b8b26c2f-358a-41fc-828e-4e1fa8f4ff07,44.36196381,-79.61469591,98,20115.11
c2a4f835-e13c-4507-9e39-0943c9f53dde,44.35490312,-79.611327,14,2250.37
efbf576e-8a9f-4573-8dfd-45c216b1f38a,44.3984737039195,-79.6980068413295,16,1592.98
bb87e1b5-d377-43af-bec1-714f55bcb1c8,44.3423384036028,-79.7315376836978,59,8964.63
927ade34-3975-4e7e-b154-c6ced2302ffa,44.4029674987208,-79.6948482787495,49,10613.2
bbefbab1-dc85-4f94-b5b2-4658e307816d,44.3484456622621,-79.6638318798396,100,12633.44
b8b26c2f-358a-41fc-828e-4e1fa8f4ff07,44.35374366,-79.6621861,89,15976.32
93907717-eb30-4895-8129-2e8b7cfe07f8,44.41205785,-79.68921308,22,2539.98
863a974c-073c-488e-b1ec-ffe314c0664b,44.3847897282118,-79.7060540143284,24,2107.91
d9ae4601-58b0-47b8-b790-63d532d18e8e,44.3640482046633,-79.6973421989287,108,13734.29
9c0efc5a-9aac-45f9-9f1c-28c365b845f1,44.388754,-79.691319,2,134.17
4182d882-c70a-44a1-afec-35c88a51c655,44.34432976,-79.70590984,129,16086.41
9c0efc5a-9aac-45f9-9f1c-28c365b845f1,44.41529301,-79.65333888,43,6707.92
0a676ff3-1314-46a6-ba1b-d1eb14120c07,44.3501101046866,-79.701121431656,56,10550.83
50cabe2d-cffc-4408-a655-77cc879c3c26,44.4110966596247,-79.7051668201439,31,3354.46
e9658958-b62d-4fa6-8ac0-d1becdbaccf5,44.34432976,-79.70590984,56,7115.16
f9e81123-679f-41c6-b74a-2862a878c601,44.3477841622339,-79.7037834138041,84,11813.13
bbefbab1-dc85-4f94-b5b2-4658e307816d,44.3501482605355,-79.664293304538,101,12826.15
e94a03ac-5ab6-47f0-98dd-fdc5468f4e6b,44.3774431572821,-79.693294745284,80,13376.49
101c2c2f-1f1f-43bf-b133-5a2eeb4e7e42,44.3910768265174,-79.7222357822797,115,14188.21
9fab52eb-9ac6-46c8-96bc-937f3acf65b7,44.3871435988,-79.7090868619405,23,2508.41
50cabe2d-cffc-4408-a655-77cc879c3c26,44.40542054,-79.65513496,121,11067.88
e9658958-b62d-4fa6-8ac0-d1becdbaccf5,44.33089332,-79.70430153,97,13677.16
863a974c-073c-488e-b1ec-ffe314c0664b,44.4075683896284,-79.7119079358523,57,5923.07
d2167ad3-2b19-48da-9f63-c6ad1b446a8c,44.386862,-79.691041,97,16976.95
927ade34-3975-4e7e-b154-c6ced2302ffa,44.3480891011072,-79.6896077424483,12,2019.53
162ac37d-fa48-4e85-9f25-48c512d2e21a,44.3907613653346,-79.692905880067,98,10860.18
4e7cc394-7da9-4bd5-b91f-3c22b3d6cbba,44.3628975369273,-79.7156616875924,46,8571.98
4bfaaae7-c649-4dc8-a82f-0dcd03d5bc9f,44.371134,-79.674817,58,11264.72
b8b26c2f-358a-41fc-828e-4e1fa8f4ff07,44.3411620312415,-79.6800216366116,68,11448.61
4182d882-c70a-44a1-afec-35c88a51c655,44.39282082,-79.67315153,55,6365.47
3237ca3b-f1ac-48a7-980c-9d18244b5bbd,44.3746967572389,-79.6903138079179,40,6200.62
4bfaaae7-c649-4dc8-a82f-0dcd03d5bc9f,44.3484136073836,-79.6273486094086,23,6069.12
50cabe2d-cffc-4408-a655-77cc879c3c26,44.3953120348043,-79.6657404104316,129,12762.3
c2a4f835-e13c-4507-9e39-0943c9f53dde,44.36257539,-79.68353462,63,15683.19
d2167ad3-2b19-48da-9f63-c6ad1b446a8c,44.3323243756488,-79.6988643526354,41,4460.34
4182d882-c70a-44a1-afec-35c88a51c655,44.3872694305938,-79.6902021581055,71,8869.31
4bfaaae7-c649-4dc8-a82f-0dcd03d5bc9f,44.3748973760188,-79.6903474515542,68,12992.06
101c2c2f-1f1f-43bf-b133-5a2eeb4e7e42,44.3989477693407,-79.6699112456984,18,2840.35
b8b26c2f-358a-41fc-828e-4e1fa8f4ff07,44.3678234140768,-79.686940591749,52,6835.47
b8b26c2f-358a-41fc-828e-4e1fa8f4ff07,44.3489606064474,-79.6856528414534,61,9874.16
e9658958-b62d-4fa6-8ac0-d1becdbaccf5,44.3599108970112,-79.6975581167673,38,5224.54
ccbecb36-e881-4bcd-ba33-478f67e1f705,44.3868067495112,-79.6952929911192,90,15617.37
efbf576e-8a9f-4573-8dfd-45c216b1f38a,44.4155013303842,-79.6625073530568,110,9105.49
e9658958-b62d-4fa6-8ac0-d1becdbaccf5,44.3487260847525,-79.7031532051058,52,6579.01
f9e81123-679f-41c6-b74a-2862a878c601,44.4104724437937,-79.6848621705432,45,3562.01
